Category: Arts & Entertainment

Month,Riot Games: (United States)
2006-09,0
2006-10,0
2006-11,0
2006-12,3
2007-01,3
2007-02,5
2007-03,0
2007-04,5
2007-05,2
2007-06,5
2007-07,5
2007-08,4
2007-09,2
2007-10,2
2007-11,2
2007-12,4
2008-01,7
2008-02,0
2008-03,5
2008-04,3
2008-05,9
2008-06,4
2008-07,4
2008-08,2
2008-09,5
2008-10,8
2008-11,12
2008-12,8
2009-01,5
2009-02,5
2009-03,1
2009-04,3
2009-05,8
2009-06,6
2009-07,9
2009-08,3
2009-09,3
2009-10,1
2009-11,4
2009-12,10
2010-01,4
2010-02,3
2010-03,6
2010-04,8
2010-05,3
2010-06,9
2010-07,6
2010-08,6
2010-09,7
2010-10,6
2010-11,7
2010-12,5
2011-01,11
2011-02,7
2011-03,11
2011-04,19
2011-05,17
2011-06,19
2011-07,30
2011-08,23
2011-09,16
2011-10,17
2011-11,17
2011-12,12
2012-01,22
2012-02,16
2012-03,22
2012-04,15
2012-05,15
2012-06,14
2012-07,11
2012-08,18
2012-09,16
2012-10,22
2012-11,14
2012-12,20
2013-01,17
2013-02,25
2013-03,25
2013-04,16
2013-05,18
2013-06,21
2013-07,28
2013-08,28
2013-09,32
2013-10,22
2013-11,25
2013-12,25
2014-01,32
2014-02,23
2014-03,23
2014-04,19
2014-05,27
2014-06,28
2014-07,22
2014-08,34
2014-09,30
2014-10,19
2014-11,20
2014-12,32
2015-01,21
2015-02,28
2015-03,31
2015-04,33
2015-05,30
2015-06,31
2015-07,32
2015-08,28
2015-09,24
2015-10,30
2015-11,21
2015-12,28
2016-01,26
2016-02,19
2016-03,15
2016-04,22
2016-05,16
2016-06,20
2016-07,23
2016-08,19
2016-09,22
2016-10,30
2016-11,18
2016-12,22
2017-01,14
2017-02,14
2017-03,18
2017-04,11
2017-05,13
2017-06,16
2017-07,18
2017-08,17
2017-09,18
2017-10,21
2017-11,20
2017-12,21
2018-01,15
2018-02,16
2018-03,15
2018-04,12
2018-05,17
2018-06,16
2018-07,18
2018-08,26
2018-09,22
2018-10,20
2018-11,25
2018-12,21
2019-01,13
2019-02,20
2019-03,13
2019-04,20
2019-05,19
2019-06,16
2019-07,13
2019-08,17
2019-09,20
2019-10,52
2019-11,26
2019-12,30
2020-01,22
2020-02,20
2020-03,25
2020-04,100
2020-05,39
2020-06,44
2020-07,34
2020-08,31
2020-09,30
2020-10,33
2020-11,31
2020-12,38
2021-01,25
2021-02,32
2021-03,28
2021-04,33
2021-05,23
2021-06,25
2021-07,28
2021-08,20
2021-09,23
2021-10,30
2021-11,60
2021-12,49
2022-01,42
2022-02,23
2022-03,30
